%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 6.107256627641618, 307.25335080968216, 14.140561732463539, 88.62627919996157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118961877105E9, 0.0, 2025-02-17 17:04:56.187
1.0, 7.9061485063284636, 217.48079227330163, 19.163247372955084, 319.59876056341454, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118961880589E9, 0.0, 2025-02-17 17:04:56.188
1.0, 4.734713343903422, 291.0352746518329, 13.68803383782506, 415.8619154728949, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118961881168E9, 0.0, 2025-02-17 17:04:56.188
2.0, 2.980700264684856, 335.80935692135245, 9.809757583774626, 176.57937640789896, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962178512E9, 0.0, 2025-02-17 17:04:56.217
2.0, 10.722293172962964, 308.25938389776275, 13.594536338932812, 97.57211989397183, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962179065E9, 0.0, 2025-02-17 17:04:56.217
3.0, 9.802277783863246, 240.7990684970282, 15.011958422139287, 332.33685981249437, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962180784E9, 0.0, 2025-02-17 17:04:56.218
3.0, 6.268072325736284, 297.4005843764171, 11.597429762594402, 405.307917797938, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962181118E9, 0.0, 2025-02-17 17:04:56.218
4.0, 0.2692727968096733, 330.0760902892798, 9.420807988382876, 631.9178058630787, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962185814E9, 0.0, 2025-02-17 17:04:56.218
4.0, 6.301731425337493, 330.3491029860452, 14.417314329184592, 547.9252627082169, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962186108E9, 0.0, 2025-02-17 17:04:56.218
5.0, 11.29823776613921, 252.05429741367698, 18.17965368460864, 788.7000218555331, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398118962192757E9, 0.0, 2025-02-17 17:04:56.219
