Sample Index	EXG Channel 0	EXG Channel 1	EXG Channel 2	EXG Channel 3	Accel Channel 0	Accel Channel 1	Accel Channel 2	Other	Other.1	Other.2	Other.3	Other.4	Timestamp	Marker Channel	Timestamp (Formatted)
82.0	6.475636773277074	-7682.452000328805	10.361392827238888	190.6731893909164	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881575.5290132	1.0	 2025-02-18 12:26:15.529
3.0	13.545917639508843	406.6075330325402	12.485656002070757	-458.6239315662533	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881576.7549565	1.0	 2025-02-18 12:26:16.754
34.0	4.783332043327391	-968.428394026123	15.44765676697716	799.3980056787841	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881578.075438	1.0	 2025-02-18 12:26:18.075
82.0	5.983839929103851	2681.4446899304166	11.157991517800838	-2740.1929083843715	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881580.5653734	1.0	 2025-02-18 12:26:20.565
40.0	12.667041149921715	306.3557748203166	14.26210848102346	9375.914229314774	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881582.1556113	1.0	 2025-02-18 12:26:22.155
87.0	6.034328578505665	-1528.5962192392908	9.145925341639668	-9320.105572225992	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881583.625101	1.0	 2025-02-18 12:26:23.625
67.0	9.742439384572208	5467.963739065919	10.851319721434264	-351.2270944886841	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881586.4450693	1.0	 2025-02-18 12:26:26.445
50.0	3.62770295701921	-2969.710568665061	11.285148116294296	-5441.369310481008	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881588.2768843	1.0	 2025-02-18 12:26:28.276
10.0	5.987579829059541	635.074281425681	10.258545578457417	753.9226921675727	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881589.8952196	1.0	 2025-02-18 12:26:29.895
39.0	9.763008834328502	-1954.1706548971124	13.886248535476623	-1330.6489244345576	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881593.195581	2.0	 2025-02-18 12:26:33.195
65.0	10.097729880362747	-176.85425905464217	13.923647535033524	1511.1252765962854	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881594.4851527	2.0	 2025-02-18 12:26:34.485
89.0	0.2561831469647586	10429.963892926462	10.2454559286125	431.57884503668174	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881595.6871097	2.0	 2025-02-18 12:26:35.687
48.0	0.7199307414703071	170.8404999258928	4.738453243859112	-196.5897111208178	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881597.305062	2.0	 2025-02-18 12:26:37.305
88.0	14.308857230469584	-611.0323345605284	13.729172737337649	733.5421073590405	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881598.715201	2.0	 2025-02-18 12:26:38.715
96.0	2.3187379725277424	-10677.60884829238	13.757221987005323	3191.524035037029	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881601.805458	2.0	 2025-02-18 12:26:41.805
17.0	0.8526971898972988	-394.0022002318874	8.865432844962925	370.8241702564992	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881605.0453713	2.0	 2025-02-18 12:26:45.045
28.0	13.555267389398068	-214.1391916628927	11.995729107875375	3357.8766550160944	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881608.16502	2.0	 2025-02-18 12:26:48.165
53.0	9.777968434151262	1467.8976429584436	10.436190826352686	1306.8089321670122	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881611.4350348	2.0	 2025-02-18 12:26:51.435
96.0	-1.7540130792185664	-11938.095379608218	5.652858783025295	6374.388331726659	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881613.865128	2.0	 2025-02-18 12:26:53.865
88.0	4.392512497957796	1578.0152572537772	7.348903412930667	3899.85921669472	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881616.8051815	1.0	 2025-02-18 12:26:56.805
100.0	11.651658311951904	424.7441778676584	15.883355111815035	509.49966061348096	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881618.9351275	1.0	 2025-02-18 12:26:58.935
5.0	0.1308964984491467	255.4482566234656	8.336237001232803	262.1613770439289	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881621.0052812	2.0	 2025-02-18 12:27:01.005
68.0	-0.6713120420463383	1091.1793903717771	8.072574054356664	3453.3020723355003	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881622.6552348	2.0	 2025-02-18 12:27:02.655
7.0	3.358430160209537	-268.30042282119393	11.485232763923705	272.9622081159614	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881624.0351062	2.0	 2025-02-18 12:27:04.035
82.0	8.276398601941764	12727.648098653648	5.593020383734256	2414.672016241122	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881626.7951696	3.0	 2025-02-18 12:27:06.795
28.0	10.731642922852188	-4249.923202297185	14.608049226924775	-3829.990405722521	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881628.2656891	3.0	 2025-02-18 12:27:08.265
92.0	2.4814236206002533	148.18418599432334	11.64604846201837	-45.59312035981566	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881629.915419	3.0	 2025-02-18 12:27:09.915
46.0	4.403732197824866	-11155.61294142902	6.866456318646669	-3096.287482665386	0.0	0.0	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881632.4656425	3.0	 2025-02-18 12:27:12.465
87.0	3.745509805623442	67.42291640117764	9.102916492149234	-1793.020235756412	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881633.8752005	3.0	 2025-02-18 12:27:13.875
21.0	15.011958422139289	-1629.4276619446464	20.75270485412329	2957.989722203929	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881635.2253428	3.0	 2025-02-18 12:27:15.225
63.0	0.0336590996012091	-783.3145659193397	9.738699484616518	-10940.929594322572	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881637.6558747	3.0	 2025-02-18 12:27:17.655
88.0	3.3247710606083274	-10702.103323052172	8.203470552805811	-417.0568135087378	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881638.9155593	3.0	 2025-02-18 12:27:18.915
37.0	7.522808760870248	-8800.134191736579	11.825563659891486	-607.1035696570762	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881640.4156203	3.0	 2025-02-18 12:27:20.415
96.0	-0.3422008459456265	-1288.5432607834227	3.0031396644189954	455.4599762037397	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881642.0050788	3.0	 2025-02-18 12:27:22.005
71.0	4.115759901236743	-15622.409202256706	13.86193918576464	-4550.697176433634	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881643.7751417	3.0	 2025-02-18 12:27:23.775
47.0	10.43806077633053	-9368.483048102818	14.89976142346859	5444.2228541472	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881645.5452316	1.0	 2025-02-18 12:27:25.545
3.0	7.62565600965172	-242.2052708803676	13.097129644826056	-690.9409069637768	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881647.1052089	5.0	 2025-02-18 12:27:27.105
67.0	9.353489789180458	202.3341974527575	11.208480167202652	164.29567500343546	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881648.7554674	5.0	 2025-02-18 12:27:28.755
22.0	12.874605597462503	341.1686335578561	7.547118110582232	3933.1667657000944	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881650.3152826	5.0	 2025-02-18 12:27:30.315
