%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -228.00861064856872, -447.56878729723394, 6.262462475802749, 20.973358951509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587812988763E9, 0.0, 2025-02-20 13:39:41.298
1.0, -112.8496112129651, -380.4824618920684, 8.465263549704105, -153.41817598231137, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781299352E9, 0.0, 2025-02-20 13:39:41.299
1.0, -162.58654072368518, -454.41654411610216, 7.369472862686962, -14.667887626215816, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587812996469E9, 0.0, 2025-02-20 13:39:41.299
2.0, -256.19249671464786, -539.4057706091553, 14.340646380092949, 164.45836065150797, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813288531E9, 0.0, 2025-02-20 13:39:41.328
2.0, -204.25650602998212, -484.94908735435456, 10.522208525333554, 41.31841471046209, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813289487E9, 0.0, 2025-02-20 13:39:41.328
3.0, -86.01956893084571, -387.3339586108923, 10.26415542839095, -146.22634836751968, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813293111E9, 0.0, 2025-02-20 13:39:41.329
3.0, -131.01430529775098, -455.5459939027205, 8.614859547931701, -12.603462850674987, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74005878132955E9, 0.0, 2025-02-20 13:39:41.329
4.0, -220.29319703998044, -553.1274635465816, 11.528241613414139, 170.2327661830932, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813297591E9, 0.0, 2025-02-20 13:39:41.329
4.0, -142.20782586513087, -480.4873867072165, 12.474436302203685, 42.096313901245594, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781329979E9, 0.0, 2025-02-20 13:39:41.329
5.0, -37.17273560957983, -385.3405919345096, 12.833466697949916, -139.6590840453282, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813590877E9, 0.0, 2025-02-20 13:39:41.359
5.0, -104.10946501651779, -454.30808701738715, 13.708603287581354, 0.24309349711984396, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813592556E9, 0.0, 2025-02-20 13:39:41.359
6.0, -210.9733663504012, -543.2279483638704, 13.173797593917698, 177.4507730975747, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813596213E9, 0.0, 2025-02-20 13:39:41.359
6.0, -149.2051786822267, -473.09360449481755, 13.932997284922749, 51.52460168953985, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781359826E9, 0.0, 2025-02-20 13:39:41.359
7.0, -44.75351281976327, -360.1710652327165, 13.51038858992979, -128.08783358242363, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813599524E9, 0.0, 2025-02-20 13:39:41.359
7.0, -123.83369738282636, -426.6889258446172, 11.614259312395006, 17.562570191919804, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813601007E9, 0.0, 2025-02-20 13:39:41.360
8.0, -222.02103081950918, -538.6054320186377, 15.829126562457532, 194.96098469011486, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781360862E9, 0.0, 2025-02-20 13:39:41.360
8.0, -160.60439374716952, -489.0068788062781, 9.953743732068688, 59.87579829059541, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781361012E9, 0.0, 2025-02-20 13:39:41.361
9.0, -82.47788367280737, -423.386594183743, 14.651058076415211, -132.40741803124547, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813903916E9, 0.0, 2025-02-20 13:39:41.390
9.0, -156.5727815949358, -523.4363977983594, 15.612212365027517, 18.662100778892636, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813906295E9, 0.0, 2025-02-20 13:39:41.390
10.0, -272.894889916759, -634.2010147860274, 12.24256250495091, 212.2168830856681, -0.01600000075995922, -0.01600000075995922, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587813909023E9, 0.0, 2025-02-20 13:39:41.390
10.0, -177.48256224719808, -546.657436623238, 10.626925724092871, 74.86531731300056, -0.01600000075995922, -0.01600000075995922, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781391013E9, 0.0, 2025-02-20 13:39:41.391
11.0, -71.24696410587057, -452.1090258434415, 8.764455546159297, -115.40583283267915, -0.01600000075995922, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781419036E9, 0.0, 2025-02-20 13:39:41.419
11.0, -170.34309323178604, -528.3805455397815, 14.587479777168483, 21.80361674167216, -0.01600000075995922, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740058781419236E9, 0.0, 2025-02-20 13:39:41.419
12.0, -284.5596378785558, -601.532988673076, 12.006948807742447, 198.7233240455389, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7400587814194248E9, 0.0, 2025-02-20 13:39:41.419
