%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -99.27003447385505, -47.135829091537744, 12.321100404020399, -28.43632931308821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189113274E9, 0.0, 2025-03-05 10:56:29.113
1.0, -157.23100398713723, -182.90915708290413, 14.359345879871398, -76.71843774104491, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891136353E9, 0.0, 2025-03-05 10:56:29.113
1.0, -78.1657790238969, -38.56771829305217, 13.51038858992979, 5.529442084487528, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891137464E9, 0.0, 2025-03-05 10:56:29.113
2.0, -19.88691801438108, 97.86383209051564, 8.427864550147206, 59.963685939554125, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891411998E9, 0.0, 2025-03-05 10:56:29.141
2.0, -99.87589826667681, -41.98224695259705, 16.393851455766708, -21.06872640037909, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891413734E9, 0.0, 2025-03-05 10:56:29.141
3.0, -165.15959189319983, -176.33815286075696, 14.991388972382993, -60.99215842736885, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189141856E9, 0.0, 2025-03-05 10:56:29.141
3.0, -79.63181980652735, -42.9658406409435, 12.945663696620613, 4.725363594014198, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891419768E9, 0.0, 2025-03-05 10:56:29.141
4.0, -22.112158488016576, 105.698922497686, 9.658291635569185, 62.402100710663944, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891427984E9, 0.0, 2025-03-05 10:56:29.142
4.0, -105.216475403402, -35.392543230671436, 13.10273949475959, -15.533674465958029, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891428823E9, 0.0, 2025-03-05 10:56:29.142
5.0, -164.3966523022391, -171.52864151773974, 11.692797211464494, -70.47280481504276, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891429975E9, 0.0, 2025-03-05 10:56:29.142
5.0, -80.38727959757671, -31.028079982381314, 12.897044997196645, 13.203716793563217, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891430652E9, 0.0, 2025-03-05 10:56:29.143
6.0, -17.332566344644874, 103.4774219240062, 13.944216984789819, 61.51200452120975, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189171212E9, 0.0, 2025-03-05 10:56:29.171
6.0, -101.30454004975036, -42.08696415135637, 11.08319351868704, -6.883285868447274, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189171352E9, 0.0, 2025-03-05 10:56:29.171
7.0, -156.65505939396098, -168.44696395425126, 9.785448234062642, -62.66763360751793, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721891716404E9, 0.0, 2025-03-05 10:56:29.171
7.0, -82.18243157630786, -30.01830699434504, 10.858799521345645, 21.603532094042748, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189171724E9, 0.0, 2025-03-05 10:56:29.171
8.0, -21.611011893954128, 107.02658698195592, 10.021061931271106, 73.44976517977193, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892016168E9, 0.0, 2025-03-05 10:56:29.201
8.0, -108.63474396290258, -27.789326620753855, 11.311327415984124, -2.043855325784534, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189201782E9, 0.0, 2025-03-05 10:56:29.201
9.0, -157.84808747982606, -166.44985737791285, 11.775075010489672, -54.8213235004805, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892019365E9, 0.0, 2025-03-05 10:56:29.201
9.0, -83.62977285915986, -35.448641730006784, 11.113112718332559, 24.6964293573983, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892020519E9, 0.0, 2025-03-05 10:56:29.202
10.0, -16.004901860374957, 106.74609448527917, 14.393004979472607, 73.59562127804384, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892022047E9, 0.0, 2025-03-05 10:56:29.202
10.0, -102.57236613472924, -31.345971478614956, 12.27996150450781, -8.61859944788739, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892022772E9, 0.0, 2025-03-05 10:56:29.202
11.0, -164.29193510347977, -168.46192355407402, 8.166071553248912, -54.82880330039188, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892028131E9, 0.0, 2025-03-05 10:56:29.202
11.0, -86.76006912207231, -29.098291605245322, 9.572273936588317, 7.002962667029351, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892029216E9, 0.0, 2025-03-05 10:56:29.202
12.0, -23.267787574324757, 107.41553657734767, 10.982216219883412, 69.37701412802562, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189231265E9, 0.0, 2025-03-05 10:56:29.231
12.0, -109.82403214881197, -36.84736431343481, 9.792928033974022, -9.504955737385899, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892313945E9, 0.0, 2025-03-05 10:56:29.231
13.0, -164.99503629514948, -168.9481105483137, 13.742262387182564, -58.89407455222681, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189231849E9, 0.0, 2025-03-05 10:56:29.231
13.0, -86.26266242796555, -27.13484412850812, 13.86941898567602, 8.25956905214116, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189232025E9, 0.0, 2025-03-05 10:56:29.232
14.0, -20.74335510423407, 104.7003692095168, 13.656244688201696, 66.73664475930855, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892612283E9, 0.0, 2025-03-05 10:56:29.261
14.0, -103.81401292001829, -36.43223541835323, 12.885825297329575, -12.021908407565206, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892614021E9, 0.0, 2025-03-05 10:56:29.261
15.0, -156.67375889373943, -169.29592124419287, 7.578907260205597, -62.95186600415036, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189261701E9, 0.0, 2025-03-05 10:56:29.261
15.0, -81.92063857940957, -28.80283950874582, 9.699430535081774, 11.019615219440311, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189261783E9, 0.0, 2025-03-05 10:56:29.261
16.0, -20.526440906804055, 107.72220837371424, 14.6547979763709, 51.20110034337267, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892622404E9, 0.0, 2025-03-05 10:56:29.262
16.0, -101.8056866438128, -30.03700649412349, 8.824293945450336, -7.118899565655738, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892623675E9, 0.0, 2025-03-05 10:56:29.262
17.0, -160.37251994991675, -164.1722583048977, 12.519315101671964, -55.74133888958022, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892629733E9, 0.0, 2025-03-05 10:56:29.262
17.0, -83.760669357609, -27.022647129837424, 12.631512100342661, 13.252335492987186, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892630844E9, 0.0, 2025-03-05 10:56:29.263
18.0, -19.95797611353919, 115.16086938558146, 10.320253927726299, 65.81288947025314, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189291164E9, 0.0, 2025-03-05 10:56:29.291
18.0, -104.77516720863059, -33.65722965123132, 14.090073083061725, -8.330627151299268, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741172189291322E9, 0.0, 2025-03-05 10:56:29.291
19.0, -160.04714865377173, -168.4731432539411, 11.644178512040526, -57.551450468134135, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892915978E9, 0.0, 2025-03-05 10:56:29.291
19.0, -83.19220456434414, -33.26080025592819, 7.530288560781628, 17.17175064655021, -0.01600000075995922, 0.0, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721892917309E9, 0.0, 2025-03-05 10:56:29.291
20.0, -22.983555177692324, 106.50674088811502, 13.551527489442378, 73.32634848123416, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893212397E9, 0.0, 2025-03-05 10:56:29.321
20.0, -101.05396675271913, -31.13279718114063, 11.47214311407879, -3.1695652124471962, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893214085E9, 0.0, 2025-03-05 10:56:29.321
21.0, -166.12074618181214, -167.14173886971548, 11.790034610312432, -62.001931415405124, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893216357E9, 0.0, 2025-03-05 10:56:29.321
21.0, -85.61939963558689, -25.12277795234695, 14.501462078187615, 15.219522869680077, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893217468E9, 0.0, 2025-03-05 10:56:29.321
22.0, -25.61644474649802, 110.39997674198821, 7.148818765301257, 63.613828296307474, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893222687E9, 0.0, 2025-03-05 10:56:29.322
22.0, -106.78723338479176, -28.604624811094254, 13.749742187093943, -16.124578658957034, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893223708E9, 0.0, 2025-03-05 10:56:29.322
23.0, -172.86378580192104, -169.63251224020496, 10.578307024668902, -74.52311646705493, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893230112E9, 0.0, 2025-03-05 10:56:29.323
23.0, -82.8743130681105, -31.016860282514244, 13.173797593917698, 13.656244688201696, -0.01600000075995922, 0.0, 0.7360000349581242, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7411721893231387E9, 0.0, 2025-03-05 10:56:29.323
